BSET,BASSETT FURNITURE INDS,1.9545
BECN,BEACON ROOFING SUPPLY,0.5
BBGI,BEASLEY BROADCAST GROUP,-0.873
BZH,BEAZER HOMES USA INC,-0.5
BELFB,BEL FUSE INC,0.3478
BDC,BELDEN INC,0.5652
BHE,BENCHMARK ELECTRONICS,0.0625
BHLB,BERKSHIRE HILLS BANCORP,-0.3333
BERY,BERRY PLASTICS GROUP,0.0461
BGCP,BGC PARTNERS INC,-0.2667
BGFV,BIG 5 SPORTING GOODS,42.6667
BH,BIGLARI HOLDINGS INC,-4.1051
BRLI,BIO-REFERENCE LABS INC,0.5833
BDSI,BIODELIVERY SCIENCES,8.0
BIOL,BIOLASE INC,0.75
BJRI,BJS RESTAURANTS INC,-0.5556
BKH,BLACK HILLS CORP,0.7576
BLKB,BLACKBAUD INC,-0.1412
BKCC,BLACKROCK KELSO CAP COR,-0.0769
BLMN,BLOOMIN' BRANDS INC,-0.8378
BCOR,BLUCORA INC,2.4444
BXC,BLUELINX HOLDINGS INC,7.0563
WIFI,BOINGO WIRELESS INC,-0.4615
BCC,BOISE CASCADE COMPANY,2.0706
BOLT,BOLT TECHNOLOGY CORP,0
BCEI,BONANZA CREEK ENER INC,-0.1803
SAM,BOSTON BEER INC,0.334
BPFH,BOSTON PRIVATE FINANCIA,0.0714
EPAY,BOTTOMLINE TECHNOLOGIES,-0.0323
BYD,BOYD GAMING CORP,-1.3878
BRC,BRADY CORP,0.2075
BFAM,BRIGHT HORIZON FAMILY,-0.9545
BCOV,BRIGHTCOVE INC,0.5714
BCO,BRINKS CO,0.2113
BRKL,BROOKLINE BANCORP INC,0.4167
BRKS,BROOKS AUTOMATION INC,0.0
BC,BRUNSWICK CORP,-0.2667
BMTC,BRYN MAWR BANK CORP,0.1667
BKI,BUCKEYE TECHNOLOGIES IN,0.0
BKE,BUCKLE INC,0.1972
BLDR,BUILDERS FIRSTSOURCE IN,0.2239
CFFI,C & F FINANCIAL CORP,nan
CCMP,CABOT MICROELECTRONICS,-0.0204
CACI,CACI INTERNATIONAL INC,0.139
CZR,CAESARS ENTMT CORP,3.872
CAP,CAI INTERNATIONAL INC,0
CALM,CAL MAINE FOODS INC,-1.625
CAMP,CALAMP CORP,-3.3333
CVGW,CALAVO GROWERS INC,-0.5342
CWT,CALIFORNIA WTR SVC GRP,16.6364
CALX,CALIX INC,0.125
ELY,CALLAWAY GOLF CO,9.0
CPE,CALLON PETROLEUM CO,5.4
CAC,CAMDEN NATIONAL CORP,0.0991
CCBG,CAPITAL CITY BANK GROUP,-0.2581
CSU,CAPITAL SENIOR LIVING,15.6667
CSWC,CAPITAL SOUTHWEST CORP,0.0
CFFN,CAPITOL FEDERAL FINL IN,0.0769
CMO,CAPSTEAD MORTGAGE CORP,-0.0625
CPST,CAPSTONE TURBINE CORP,1.2353
CSII,CARDIOVASCULAR SYS INC,-1.0
CATM,CARDTRONICS INC,2.7692
CSV,CARRIAGE SERVICES INC,0.1333
TAST,CARROLS RESTAURANT GRP,-0.4375
CWST,CASELLA WASTE SYSTEMS,0.3704
CASY,CASEYS GENERAL STORES,-0.0741
CASS,CASS INFORMATION SYSTEM,nan
CAS,CASTLE A M & CO,nan
CATY,CATHAY GENERAL BANCORP,0.2535
CATO,CATO CORP,nan
CVCO,CAVCO INDUSTRIES INC,0.3086
CBZ,CBIZ INC,-0.0769
CECE,CECO ENVIRONMENTAL CORP,-0.2143
CDR,CEDAR REALTY TRUST INC,-2.9231
CTIC,CELL THERAPEUTICS INC,-0.2105
CLDX,CELLDEX THERAPEUTICS IN,-0.28
